dish_name,ingredients,instructions
"Spaghetti Carbonara","spaghetti, eggs, parmesan cheese, bacon, black pepper","Boil pasta until al dente. Fry bacon until crispy. Beat eggs and mix with grated parmesan. Combine pasta with bacon and egg mixture. Season with pepper and serve hot."
"Chicken Curry","chicken, onion, tomato, garlic, ginger, curry powder, salt, oil","Heat oil in a pan. Sauté onions, garlic, and ginger. Add tomatoes and cook down. Add chicken and curry powder. Simmer until chicken is cooked through. Serve with rice."
"Grilled Cheese Sandwich","bread slices, cheddar cheese, butter","Butter the bread slices. Place cheese between two slices. Grill on a pan until golden brown and cheese melts."
"Pancakes","flour, milk, eggs, sugar, baking powder, salt, butter","Mix dry ingredients. Whisk in milk and eggs. Heat butter in a pan and pour batter. Cook until bubbles form, flip and cook the other side."
"Fried Rice","rice, mixed vegetables, soy sauce, garlic, egg, oil","Cook rice and let it cool. Scramble egg in a pan. Stir-fry garlic and vegetables. Add rice, soy sauce, and mix well."
"Tomato Soup","tomatoes, onion, garlic, vegetable broth, cream, salt, pepper","Sauté onion and garlic. Add chopped tomatoes and broth. Simmer and blend. Add cream and season before serving."
"Caesar Salad","lettuce, croutons, parmesan, Caesar dressing, chicken (optional)","Chop lettuce and toss with croutons and grated parmesan. Add dressing and grilled chicken if desired."
"French Toast","bread slices, eggs, milk, cinnamon, sugar, butter","Whisk eggs, milk, sugar, and cinnamon. Dip bread slices. Fry on buttered pan until golden brown."
"Veggie Stir Fry","mixed vegetables, soy sauce, garlic, ginger, oil, salt","Heat oil. Add garlic and ginger. Stir-fry veggies. Add soy sauce and cook until tender."
"Beef Tacos","ground beef, taco shells, onion, tomato, lettuce, cheese, taco seasoning","Cook beef with taco seasoning. Fill taco shells with beef, chopped veggies, and cheese."
"Mashed Potatoes","potatoes, butter, milk, salt, pepper","Boil potatoes until soft. Mash with butter and milk. Season with salt and pepper."
"Omelette","eggs, onion, tomato, cheese, salt, pepper, oil","Whisk eggs with salt and pepper. Pour into pan. Add chopped veggies and cheese. Cook until firm."
"Chocolate Chip Cookies","flour, sugar, butter, eggs, chocolate chips, vanilla extract, baking soda","Cream butter and sugar. Mix in eggs and vanilla. Add dry ingredients and chips. Scoop and bake until golden."
"Mac and Cheese","macaroni, cheddar cheese, milk, butter, flour, salt","Cook macaroni. Make cheese sauce with butter, flour, milk, and cheese. Mix with pasta and bake if desired."
"Banana Bread","ripe bananas, flour, sugar, eggs, butter, baking soda","Mash bananas. Mix with sugar, eggs, and butter. Add flour and baking soda. Pour into loaf pan and bake."
"Veggie Burger","burger buns, veggie patties, lettuce, tomato, onion, cheese, sauce","Cook patties. Assemble burgers with veggies, cheese, and sauce in buns."
"Butter Chicken","chicken, tomato puree, cream, butter, spices, garlic, ginger","Marinate chicken in spices. Cook in butter, add tomato puree and cream. Simmer until rich."
"Garlic Bread","baguette, garlic, butter, parsley, salt","Mix garlic with butter and parsley. Spread on bread. Bake until golden and crisp."
"Stir Fry Noodles","noodles, vegetables, soy sauce, garlic, oil","Boil noodles. Stir-fry garlic and vegetables. Add noodles and soy sauce. Toss well."
"Chili","ground beef, beans, tomatoes, chili powder, onion, garlic, salt","Cook beef with onion and garlic. Add beans, tomatoes, and chili powder. Simmer until thick."
"Egg Fried Rice","rice, egg, green onion, soy sauce, garlic, oil","Scramble egg in a pan. Add cooked rice, garlic, soy sauce, and green onions. Stir-fry well."
"Margarita Pizza","pizza dough, tomato sauce, mozzarella, basil, olive oil","Spread sauce on dough. Top with mozzarella and basil. Bake until cheese melts."
"Tuna Sandwich","bread, canned tuna, mayonnaise, lettuce, tomato, salt","Mix tuna with mayo. Layer with lettuce and tomato in bread slices."
"Greek Salad","tomato, cucumber, feta, olives, red onion, olive oil","Chop vegetables. Toss with feta, olives, and olive oil."
"Chicken Biryani","chicken, basmati rice, yogurt, onion, spices, saffron","Marinate chicken. Cook with onions and spices. Layer with rice and saffron. Steam until done."
"Caprese Salad","mozzarella, tomato, basil, olive oil, balsamic vinegar","Slice mozzarella and tomatoes. Layer with basil. Drizzle with oil and vinegar."
"Stuffed Bell Peppers","bell peppers, rice, ground beef, onion, tomato sauce, cheese","Stuff bell peppers with cooked beef and rice. Top with sauce and cheese. Bake until tender."
"Fish Tacos","fish fillets, taco shells, cabbage, lime, mayonnaise","Cook fish. Assemble tacos with shredded cabbage and lime mayo sauce."
"Chicken Alfredo","fettuccine, chicken, cream, parmesan, garlic, butter","Cook pasta. Sauté chicken with garlic. Add cream and parmesan. Combine with pasta."
"Avocado Toast","bread, avocado, lemon juice, chili flakes, salt","Mash avocado with lemon juice and salt. Spread on toasted bread. Sprinkle chili flakes."
"Vegetable Soup","mixed vegetables, broth, onion, garlic, herbs, salt","Sauté onion and garlic. Add veggies and broth. Simmer with herbs until tender."
